Key,English
buffZVirusPausedIconCDesc,"My [f21b10]Z-Virus[-] infection is currently in remission. My viral load will not increase while the medication is in effect but it will not cure the infection completely. To lower my viral load and lessen the infection's effect take a [35bd00]Antiviral[-]. The infection is making my head so foggy I can't remember some recipes and it's affecting my vision more often. I can feel my wellness being sucked away and I am starting to feel a strong hunger but not for food.\n\nEffects:\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Crafting Speed\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Scrapping Speed\n-{cvar($ZVirusTempEffectMath:00)}° Warmer\n{cvar($ZVirusWellnessMath:0.00)} Wellness lost per 5 min\n-Many recipes are temporarily forgotten"
buffZVirusPausedIconDDesc,"My [f21b10]Z-Virus[-] infection is currently in remission. My viral load will not increase while the medication is in effect but it will not cure the infection completely. To lower my viral load and lessen the infection's effect take a [35bd00]Antiviral[-]. The infection is making my head so foggy I can't remember some recipes and it's affecting my vision more often. I can feel my wellness being sucked away and I am starting to feel a strong hunger but not for food.\n\nEffects:\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Crafting Speed\n-{cvar($ZVirusCraftEffectDisplay:00)}% Slower Scrapping Speed\n-{cvar($ZVirusTempEffectMath:00)}° Warmer\n{cvar($ZVirusWellnessMath:0.00)} Wellness lost per 5 min\n-Many recipes are temporarily forgotten"
buffSpicyMealDec,"You have eaten spicy food and are feeling the effects.\n\nEffects:\n+10 Mobility\n+10°\nStops Fatigue gain"
buffDessertDesc,"You have eaten a very sweet dessert and are feeling the effects.\n\nEffects:\n+20 Mobility"
buffCoolingFoodDesc,"You have eaten cooling food and are feeling the effects.\n\nEffects:\n-10°"
buffOverEncumberedDesc,"You are carrying to much weight and it is slowing you down."
buffOverHeatingWarningDesc,"You are starting to get a little sweaty"
buffFreezingWarningDesc,"You are starting to get a little chilly."
buffFreezingDesc,"You're starting to freeze. Put on warmer clothing, light a fire or get indoors. If you don't get warm soon you will get Hypothermia."
buffElementColdTooltip,"You can't take this cold much longer"
buffHypothermiaDesc,"You have Hypothermia. Get warm immediately or you could die.\n\nEffects:\n-20 Mobility\n-1 Stamina per Second\nTrouble Crafting\n20% Hungrier\n+5 Fatigue every min\n-2 Health every min\n-1 Wellness every min"
buffElementHypothermiaTooltip,"You are starting to feel numb"
buffOverHeatingDesc,"You're starting to over heat. Put on cooling clothing, get wet or get indoors. If you don't get cool soon you will get Heat Stroke."
buffElementHotTooltip,"This is too hot you have to cool off"
buffHeatStrokeDesc,"You're having a Heat Stroke. Get cool immediately or you could die.\n\nEffects:\n-20 Mobility\n-1 Stamina per Second\nTrouble Crafting\n20% Thirstier\n+5 Fatigue every min\n-2 Health every min\n-1 Wellness every min"
buffElementSwelteringTooltip,"You feel like you might pass out"
reputationsTraderJoeRep,"Increasing your rep by completing more max level quest from this trader will increases your selling prices to the trader and grant you access to more and better Weapons, Ammo and Trap supplies from this trader."
reputationsTraderJenRep,"Increasing your rep by completing more max level quest from this trader will increases your selling prices to the trader and grant you access to more and better Chemicals, Medicine, Clothing and Armor from this trader."
reputationsTraderBobRep,"Increasing your rep by completing more max level quest from this trader will increases your selling prices to the trader and grant you access to more and better Food, Farming and Tool supplies from this trader."
reputationsTraderHughRep,"Increasing your rep by completing more max level quest from this trader will increases your selling prices to the trader and grant you access to more and better Books and Workstations from this trader."
reputationsTraderRektRep,"Increasing your rep by completing more max level quest from this trader will increases your selling prices to the trader and grant you access to more and better Mechanical, Electrical and Crafting supplies from this trader."
buffAcidSpitDesc,"That thing spit on you and it's burning your skin, you have to get it off. Maybe some water would wash it off.\n\nEffects:\n-1 Health per Second\n-5 Stamina per Second\n-1 Wellness\n-1 Wellness is not treated"
buffStickyDesc,"That thing spit on me and it's all sticky, I can't even move. Maybe some water would wash it off.\n\nEffects:\n-0 Mobility\n-1 Wellness\n-1 Wellness if not treated"
buffIllPneumonia01Desc,"You have caught Pneumonia from being so cold. Get warm immediately.\n\nEffects:\n-10 Wellness\n-1 Protein, Fiber, Essential Vitamine\n-3 Stamina per Sec\n-.01 Health per Sec"
buffSnakeBiteDesc,"A snake bit and poisoned you and now your limping. You will need to find or make some [35bd00]Anti-Venom[-] or you will get very ill. [35bd00]Anti-Venom[-] can be crafted on the Campfire with a Venom Gland from a poisonous animal\n\nEffects:\n-1 Wellness\n-2 Stamina per Second\n-5% Mobility\n-5 Cold Resistance"
buffSnakeBiteLvTwoDesc,"Your snake bite is getting worse and the venom is spreading. You need to get some [35bd00]Anti-Venom[-] soon. [35bd00]Anti-Venom[-] can be crafted on the Campfire with a Venom Gland from a poisonous animal\n\nEffects:\n-2 Wellness\n-3 Stamina per Second\n-15% Mobility\n-15 Cold Resistance"
buffSnakeBiteLvThreeDesc,"The snake venom is coursing through your veins. If you can last the day you might just live. Or you can find or make some [35bd00]Anti-Venom[-].[35bd00]Anti-Venom[-] can be crafted on the Campfire with a Venom Gland from a poisonous animal\n\nEffects:\n-3 Wellness\n-5 Stamina per Second\n-50% Mobility\n-25 Cold Resistance"
buffStatusThirsty03Desc,"You are dying of dehydration! Find something to drink!\nHealth and stamina are recovering slower.\nEffects:\n-1 Wellness every 5 min\nYour maximum stamina is lowered by {cvar($BuffStatusThirstyBlockage:0.0)}."
buffStatusHungry03Desc,"You are dying of starvation. You need to find something to eat.\nEffects:\n-1 Wellness every 5 min\nYour maximum stamina is lowered by {cvar($BuffStatusHungryBlockage:0.0)}."
buffInfectionCureDisplayName,"Antiviral Medicine"
buffInfection01UntreatedName,"Early Z-Virus Infection"
buffInfection02UntreatedName,"Advanced Z-Virus Infection"
buffInfection03UntreatedName,"Severe Z-Virus Infection"
buffInfection02GetBetterName,"Treated Z-Virus Infection"
buffInfection03GetBetterName,"Treated Severe Z-VirusInfection"
buffExhaustedDesc,"Yourlow stamina level is sapping your energy. You should slow down and rest before you beccome fatigued."
buffMalnourishedDesc,"Your health is failing. You must eat a more balanced diet that contains all the vitamin groups in order to have a more healthy diet.\n\nEffects:\n-1 Stamina per 3 sec\n -10% Mobility"
buffBadDietDesc,"Your diet is not very healthy and it’s starting to affect you. Try eating foods that contains all the vitamin groups.\n\n-1 Stamina per 5 sec"
buffVitaminDeficiencyDesc,"Your poor diet means you're not getting all the nutrition you need and its slowing you down. Cook and eat meals that contains all the vitamin groups to improve your diet.\n\n-1 Stamina per 4 sec\n-5% Mobility"
buffCharismaticNatureOneDesc,"You are being inspired!\nEffects:\n+20 Max Health\n+20 Max Stamina"
buffCharismaticNatureTwoDesc,"You are being inspired!\nEffects:\n+20 Max Health\n+20 Max Stamina\n+20% Damage"
buffCharismaticNatureThreeDesc,"You are being inspired!\nEffects:\n+20 Max Health\n+20 Max Stamina\n+20% Damage\n-10% Health Loss"
buffCharismaticNatureFourDesc,"You are being inspired!\nEffects:\n+20 Max Health\n+20 Max Stamina\n+20% Damage\n-10% Health Loss\n+5% Mobility"
buffWarningStageScurvyDesc,"Your diet is lacking in foods that contain Essential Vitamins and it’s starting to affect your health badly. You are showing the warning signs of Scurvy. Eat more foods that contain Essential Vitamins to heal from this.\n\nEffects:\n5% Slower Stamina Recovery\n{cvar($ScurvyEffectDisplay:00)} more Encumbrance Effect"
buffIllnessScurvyDesc,"Your diet is severely lacking in Essential Vitamins and it’s making you ill. You are suffering from Scurvy. Eat more foods that contain Essential Vitamins to heal from this.\n\nEffects:\n20% Slower Stamina Recovery\n{cvar($ScurvyEffectDisplay:00)} more Encumbrance Effect"
buffWarningStageDiarrheaDesc,"Your over consumption of foods containing Essential Vitamins is starting to affect your health badly. You are showing the warning signs of Diarrhea. Eat less foods that contain Essential Vitamins to heal from this.\n\nEffects:\n5% Faster Hydration Loss\nLow Chance to loudly Vomit and or stop and relieve yourself"
buffIllnessDiarrheaDesc,"Your over consumption of foods containing Essential Vitamins is making you ill. You are suffering from Diarrhea. Eat less foods that contain Essential Vitamins to heal from this.\n\nEffects:\n20% Faster Hydration Loss\nHigh Chance to loudly Vomit and or stop and relieve yourself"
buffWarningStageAnemiaDesc,"Your diet is lacking in foods that contain Protein and it’s starting to affect your health badly. You are showing the warning signs of Anemia. Eat more foods that contain Protein to heal from this.\n\nEffects:\n5% Fatigue Blockage\n-4 Hypothermal Resist"
buffIllnessAnemiaDesc,"Your diet is severely lacking in Protein and it’s making you ill. You are suffering from Anemia. Eat more foods that contain Protein to heal from this.\n\nEffects:\n20% Fatigue Blockage\n-15 Hypothermal Resist"
buffWarningStageGoutDesc,"Your over consumption of foods containing Protein is starting to affect your health badly. You are showing the warning signs of Gout. Eat less foods that contain Protein to heal from this.\n\nEffects:\n3% Slower Mobility\nLow Chance to loudly scream in pain and or limp"
buffIllnessGoutDesc,"Your over consumption of foods containing Protein is making you ill. You are suffering from Gout. Eat less foods that contain Protein to heal from this.\n\nEffects:\n10% Slower Mobility\nHigh Chance to loudly scream in pain and or limp"
buffWarningStageConstipationDesc,"Your over consumption of foods containing Fiber is starting to affect your health badly. You are showing the warning signs of Constipation. Eat less foods that contain Fiber to heal from this.\n\nEffects:\n-20 Max Carry Weight\nLow Chance to loudly scream in pain"
buffIllnessConstipationDesc,"Your over consumption of foods containing Fiber is making you ill. You are suffering from Constipation. Eat less foods that contain Fiber to heal from this.\n\nEffects:\n-40 Max Carrying Weight\nHigh Chance to loudly scream in pain"
buffWarningStageWeakDesc,"Your diet is lacking in foods that contain Fiber and it’s starting to affect your health badly. You are starting to feel a little Weak. Eat more foods that contain Fiber to heal from this.\n\nEffects:\n5% More Stamina Loss\nTo Weak to use Two Handed Weapons"
buffStageWeakDesc,"Your diet is severely lacking in Fiber and it’s making you ill. You are suffering from Weakness. Eat more foods that contain Fiber to heal from this.\n\nEffects:\n20% More Stamina Loss\nTo Weak to use Two Handed Weapons\nTo Weak to use Power Attacks"
buffZombieBiteBleedingDesc,"You have suffered a [f21b10]Zombie Bite[-] and are bleeding badly. Use a [35bd00]Bandage[-] to stop the bleeding. If not treated it will lead to a [f21b10]Medical Infection[-]"
buffDirtyZombieBiteCauterizeDesc,"Now that you have treated the bleed you will need to cauterize the [f21b10]Zombie Bite[-] with a [35bd00]Red Hot Pipe[-] to close the wound. If not treated it will lead to a [f21b10]Medical Infection[-]"
buffDirtyZombieBiteBurnDesc,"The [f21b10]Zombie Bite[-] is cauterized but now the burn must be treated with a [35bd00]First Aid Bandage[-]. If not treated it will lead to a [f21b10]Medical Infection[-]"
buffZombieBiteTendedDesc,"The [f21b10]Zombie Bite[-] is bandaged and healing. After some time you will need to cleanse and rebandage the wound."
buffZombieBiteDirtyNeedsCleansingDesc,"Your bandage has gotten dirty and needs to be changed. First you will need to use a [35bd00]Cleansing Wash[-] to clean the wound. If not treated it will lead to a [f21b10]Medical Infection[-]"
buffZombieBiteDirtyNeedsBandageDesc,"Now that your [f21b10]Zombie Bite[-] wound is clean you will need to treat it with a [35bd00]First Aid Bandage[-]. If not treated it will lead to a [f21b10]Medical Infection[-]"
buffZombieBiteTendedBDesc,"The [f21b10]Zombie Bite[-] is bandaged and healing. After some time you will need to re-bandage it to allow it to continue healing."
buffZombieBiteDirtyNeedsBandageBDesc,"Your bandage has gotten dirty and needs to be changed. You will need to use a [35bd00]Bandage[-] to continue healing. If not treated it will lead to a [f21b10]Medical Infection[-]"
buffZombieBiteTendedCDesc,"The [f21b10]Zombie Bite[-] is bandaged. Try not to hurt it so it will finish healing."
buffMedicalInfectionCureDisplayName,"Antibiotic Medicine"
buffMedicalInfectionCureDisplayDesc,"You have taken [35bd00]Antibiotics[-] medicine which will reduce [f21b10]Medical Infection[-] that you may be suffering. You can stack [35bd00]Antibiotics[-] medicines to increase duration."
buffMedicalInfection01UntreatedDesc,"You have a mild [f21b10]Medical Infection[-].\nIt will get worse until treated by [35bd00]Antibiotics[-].\nTend to your wounds timely or they could increase your infection. If the infection reaches 100% you will die and not be able to respawn."
buffMedicalInfection01UntreatedName,"Mild Medical Infection"
buffMedicalInfection01GetBetterName,"Treated Medical Infection"
buffMedicalInfection01GetBetterDesc,"You have a treated mild [f21b10]Medical Infection[-]. Continue medication until infection is cleared up.\nTend to your wounds timely or they could increase your infection."
buffMedicalInfection02UntreatedName,"Medical Infection"
buffMedicalInfection02UntreatedDesc,"You have a serious [f21b10]Medical Infection[-]. If left untreated it could lead to full infection which can cause permanent player death. Take [35bd00]Antibiotics[-] as soon as possible.\nTend to your wounds timely or they could increase your infection. If the infection reaches 100% you will die and not be able to respawn.\n\nStamina Regeneration -25%"
buffMedicalInfection02GetBetterName,"Treated Medical Infection"
buffMedicalInfection02GetBetterDesc,"You have a treated serious [f21b10]Medical Infection[-]. Continue medication and tend to your wounds timely or they could increase your infection.\n\nStamina Regeneration -12.5%"
buffMedicalInfection03UntreatedName,"Severe Medical Infection"
buffMedicalInfection03UntreatedDesc,"You have a life threatening severe [f21b10]Medical Infection[-]. Take [35bd00]Antibiotics[-] immediately. If the infection reaches 100% you will die and not be able to respawn.\n\nStamina Regeneration -35%
buffMedicalInfection03GetBetterName,"Treated Severe Medical Infection"
buffMedicalInfection03GetBetterDesc,"You have a treated life threatening severe [f21b10]Medical Infection[-]. Continue medication and tend to your wounds timely or they could increase your infection.\n\nStamina Regeneration -17%"
buffMedicalInfection04Tooltip,"You have died from an infection"
buffPuncturedDesc,"You have a deep [f21b10]Puncture Wound[-]. You’re going to need a [35bd00]Sanitize Bandage[-] to clean and pack the hole\n-10% Mobility\n-1HP per 20sec\n-1 Wellness"
buffThrobbingPainDesc,"OOww! That hurts take some [35bd00]Painkillers[-] to relieve the pain\n\n-1 Stamina every 5 sec\n+10 Core Temp"
buffGangreneWoundDesc,"Your wound has become [f21b10]Gangrene[-]. The only option you have is to cut off the dead tissue, this will leave you permanently scared. Use a bladed weapon to cute away the [f21b10]Gangrene[-] tissue. You will then have to treat and care for the remaining wound\n\n-4 Stamina every 1 sec\n-1 Health every 10 sec\n-12% Mobility\n-1 Wellness every 1 min\n30% more Health Loss\nUntil Treated"
buffTendingEDesc,"Your [f21b10]Severe Wound[-] is bandaged and healing. Try not to get hurt and make sure to change it with another [35bd00]Sanitizing Bandage[-] when it gets dirty so it does not get worse..\n\n-1 Stamina every 4 sec\n-6% Mobility\n12% more Health Loss"
buffDirtyBandageEDesc,"Your [f21b10]Severe Wounds[-] bandage is dirty and starting to smell. Change it with another [35bd00]Sanitizing Bandage[-] soon or it could get worse.\n\n-2 Stamina every 1 sec\n-8% Mobility\n18% more Health Loss\nUntil Treated"
buffTendingFDesc,"Your [f21b10]Severe Wound[-] is bandaged and healing. Try not to get hurt and make sure to change it with another [35bd00]Sanitizing Bandage[-] when it gets dirty so it does not get worse.\n\n-1 Stamina every 2 sec\n-8% Mobility\n14% more Health Loss"
buffTendingCDesc,"Your [f21b10]Wound[-] is bandaged and healing. Try not to get hurt and make sure to change it with another [35bd00]First Aid Bandage[-] when it gets dirty so it does not get worse.\n\n-1 Stamina every 8 sec\n-3% Mobility\n8% more Health Loss"
buffDirtyBandageCDesc,"Your [f21b10]Wound’s[-] bandage is dirty and starting to smell. Change it with another [35bd00]First Aid Bandage[-] soon or it could get worse\n\n-1 Stamina every 1 sec\n-6% Mobility\n14% more Health Loss\nUntil Treated"
buffDirtyBandageFDesc,"Your [f21b10]Amputation Wound’s[-] bandage is dirty and starting to smell. Change it with a [35bd00]Sanitizing Bandage[-] soon or it could get worse.\n\n-2 Stamina every 1 sec\n-10% Mobility\n20% more Health Loss\nUntil Treated"
buffDirtyBandageBDesc,"Your [f21b10]Wound’s[-] bandage is dirty and starting to smell. Change it with a [35bd00]Bandage[-] soon or it could get worse\n\n-1 Stamina every 2 sec\n-5% Mobility\n12% more Health Loss\nUntil Treated"
